bootstrap_replicate,sample_size,active_count,inactive_count,classifier,traditional_AUROC,esm2_AUROC,delta_AUROC,traditional_AUPRC,esm2_AUPRC,delta_AUPRC,traditional_MCC,esm2_MCC,delta_MCC,traditional_F1,esm2_F1,delta_F1
3500,181,20,161,RBF-SVM,0.9450310559006211,0.9720496894409938,0.027018633540372705,0.6112967003756478,0.8133272628615321,0.20203056248588436,0.5590865020847319,0.6289558653586428,0.06986936327391091,0.6086956521739131,0.6666666666666666,0.05797101449275355
3500,181,20,161,Random Forest,0.9402173913043479,0.9801242236024845,0.03990683229813663,0.5292768160202371,0.8969442684612964,0.36766745244105925,0.6426986807228552,0.6219557252686259,-0.020742955454229328,0.6829268292682927,0.6538461538461539,-0.02908067542213888
3500,181,20,161,XGBoost,0.9577639751552796,0.9807453416149068,0.022981366459627228,0.7369430717631182,0.8739778423331056,0.13703477056998736,0.5944140729570022,0.752753989342379,0.1583399163853768,0.6382978723404256,0.7804878048780488,0.14218993253762324
3501,181,20,161,Logistic Regression,0.9409937888198757,0.9698757763975155,0.028881987577639823,0.6024992526863244,0.8359764909552948,0.23347723826897038,0.5467668197246929,0.7285186322821915,0.18175181255749862,0.5588235294117647,0.7450980392156863,0.18627450980392157
3501,181,20,161,RBF-SVM,0.9360248447204969,0.9652173913043477,0.029192546583850842,0.6502491800800072,0.7842625906202023,0.1340134105401951,0.5205215478846644,0.5767855753479957,0.056264027463331256,0.5614035087719298,0.6,0.038596491228070184
3501,181,20,161,Random Forest,0.9388198757763976,0.9813664596273293,0.042546583850931685,0.5755677868556468,0.899631098666353,0.32406331181070624,0.5944140729570022,0.6404496029129428,0.046035529955940624,0.6382978723404256,0.6551724137931034,0.01687454145267786
3501,181,20,161,XGBoost,0.9630434782608696,0.9860248447204969,0.02298136645962734,0.7865454719219391,0.9151728530687884,0.12862738114684924,0.6776891751317226,0.7600689387825204,0.0823797636507978,0.7083333333333334,0.782608695652174,0.07427536231884058
3502,181,20,161,Logistic Regression,0.9496894409937888,0.9670807453416149,0.017391304347826098,0.6292169857146638,0.8504901690120107,0.2212731832973469,0.6190538521634015,0.710823609093172,0.09176975692977052,0.6428571428571429,0.7346938775510204,0.09183673469387754
3502,181,20,161,RBF-SVM,0.970807453416149,0.9670807453416149,-0.003726708074534124,0.7904556546706751,0.7705375600906454,-0.019918094580029688,0.6147376694024594,0.6776891751317226,0.06295150572926311,0.6530612244897959,0.7083333333333334,0.055272108843537504
3502,181,20,161,Random Forest,0.9642857142857143,0.9804347826086957,0.016149068322981353,0.6487316728944297,0.8859528828659263,0.23722120997149665,0.7098233296080733,0.710823609093172,0.0010002794850987318,0.7391304347826086,0.7346938775510204,-0.004436557231588201
3502,181,20,161,XGBoost,0.9704968944099378,0.9804347826086955,0.009937888198757738,0.7529323024645606,0.873324338200499,0.12039203573593849,0.6933464382031791,0.6936071270909264,0.000260688887747329,0.723404255319149,0.7272727272727273,0.003868471953578312
3503,181,20,161,Logistic Regression,0.9770186335403727,0.984472049689441,0.007453416149068359,0.8161204652261529,0.8889181559181561,0.07279769069200326,0.6617312133772775,0.8238891044509619,0.1621578910736844,0.6666666666666666,0.8333333333333334,0.16666666666666674
3503,181,20,161,RBF-SVM,0.9720496894409938,0.9779503105590063,0.0059006211180124835,0.810905496740737,0.8288977841175746,0.017992287376837668,0.6933464382031791,0.710823609093172,0.0174771708899929,0.723404255319149,0.7346938775510204,0.011289622231871466
3503,181,20,161,Random Forest,0.9785714285714285,0.9922360248447205,0.013664596273291973,0.7899903303610734,0.942126951995373,0.15213662163429964,0.8417449860724445,0.7198540717739339,-0.12189091429851062,0.851063829787234,0.7272727272727273,-0.12379110251450676
3503,181,20,161,XGBoost,0.9872670807453416,0.9888198757763975,0.0015527950310558758,0.8271902252337036,0.9225414388243336,0.09535121359063004,0.7907330770695271,0.8494964772607828,0.0587634001912557,0.8,0.8636363636363636,0.0636363636363636
3504,181,20,161,Logistic Regression,0.9745341614906832,0.9844720496894409,0.009937888198757738,0.8113217173796867,0.8776244588744588,0.06630274149477211,0.6837199941511819,0.8069095487838845,0.12318955463270265,0.6896551724137931,0.8163265306122449,0.12667135819845177
3504,181,20,161,RBF-SVM,0.9885093167701864,0.9779503105590063,-0.01055900621118011,0.9350489441067749,0.7976671067150943,-0.13738183739168053,0.8103145479569674,0.7455702438142119,-0.06474430414275556,0.8260869565217391,0.7727272727272727,-0.05335968379446643
3504,181,20,161,Random Forest,0.9816770186335404,0.9860248447204969,0.004347826086956497,0.8679773062293284,0.8968337912087914,0.028856484979462915,0.7922788034493561,0.7464074191652338,-0.045871384284122296,0.8085106382978723,0.7547169811320755,-0.05379365716579676
3504,181,20,161,XGBoost,0.9919254658385093,0.987888198757764,-0.004037267080745255,0.9361837285521497,0.9288561076604556,-0.007327620891694142,0.8069095487838845,0.8179510473202897,0.011041498536405125,0.8163265306122449,0.8372093023255814,0.020882771713336523
3505,181,20,161,Logistic Regression,0.9723602484472049,0.9829192546583851,0.010559006211180222,0.7754042036394979,0.9096620706253516,0.13425786698585374,0.6404496029129428,0.7588665789385283,0.11841697602558543,0.6551724137931034,0.7755102040816326,0.1203377902885292
3505,181,20,161,RBF-SVM,0.9788819875776398,0.986024844720497,0.0071428571428572285,0.8548189946018894,0.9085650637501325,0.05374606914824309,0.7143430755136987,0.7007656141419543,-0.013577461371744426,0.7307692307692307,0.7169811320754716,-0.013788098693759077
3505,181,20,161,Random Forest,0.9641304347826086,0.9903726708074534,0.026242236024844767,0.7409126076059714,0.9495654885654886,0.20865288095951717,0.7272005173616334,0.6752329803386319,-0.0519675370230015,0.7555555555555555,0.6909090909090909,-0.06464646464646462
3505,181,20,161,XGBoost,0.9847826086956523,0.9900621118012423,0.00527950310559,0.8275439217215532,0.9429674868448128,0.11542356512325957,0.7922788034493561,0.8179510473202897,0.025672243870933587,0.8085106382978723,0.8372093023255814,0.028698664027709153
3506,181,20,161,Logistic Regression,0.9633540372670807,0.9624223602484472,-0.0009316770186335033,0.7828535353535354,0.845896082178691,0.06304254682515553,0.5485894759623406,0.7782766887401571,0.22968721277781645,0.5714285714285714,0.8,0.22857142857142865
3506,181,20,161,RBF-SVM,0.948136645962733,0.9698757763975154,0.021739130434782483,0.6969917404240664,0.8116233766233768,0.11463163619931038,0.5181983940488363,0.6219557252686259,0.10375733121978958,0.5660377358490566,0.6538461538461539,0.08780841799709727
3506,181,20,161,Random Forest,0.9616459627329192,0.9773291925465839,0.015683229813664656,0.6186468284294373,0.8612961994324319,0.24264937100299455,0.7455702438142119,0.6959498406790738,-0.04962040313513805,0.7727272727272727,0.72,-0.052727272727272734
3506,181,20,161,XGBoost,0.965527950310559,0.9832298136645963,0.01770186335403723,0.6843824802648332,0.8683303912289981,0.18394791096416496,0.7272005173616334,0.7857281113522394,0.05852759399060603,0.7555555555555555,0.8095238095238095,0.053968253968254
3507,181,20,161,Logistic Regression,0.9552795031055901,0.9826086956521739,0.027329192546583836,0.7450503498890596,0.8760978936369136,0.131047543747854,0.6314040674128691,0.7752947487926833,0.1438906813798142,0.6349206349206349,0.7843137254901961,0.14939309056956118
3507,181,20,161,RBF-SVM,0.9419254658385092,0.9754658385093168,0.03354037267080756,0.6566679923758413,0.8161324424367903,0.159464450060949,0.529568375023553,0.6426238671424004,0.11305549211884736,0.5769230769230769,0.6666666666666666,0.08974358974358976
3507,181,20,161,Random Forest,0.9510869565217391,0.9888198757763975,0.03773291925465838,0.5772813583475348,0.8977701465201468,0.32048878817261195,0.6761243459831097,0.6837199941511819,0.007595648168072233,0.7111111111111111,0.6896551724137931,-0.02145593869731799
3507,181,20,161,XGBoost,0.9714285714285714,0.9847826086956522,0.013354037267080732,0.7481072248719307,0.8728693791193791,0.12476215424744841,0.6933464382031791,0.8494964772607828,0.15615003905760372,0.723404255319149,0.8636363636363636,0.14023210831721467
3508,181,20,161,Logistic Regression,0.9444099378881987,0.9822981366459628,0.03788819875776406,0.6189801905956934,0.885952078340274,0.2669718877445806,0.6411871568638764,0.7073507373025469,0.06616358043867054,0.6451612903225806,0.7142857142857143,0.06912442396313367
3508,181,20,161,RBF-SVM,0.9409937888198758,0.9739130434782609,0.03291925465838508,0.6503941850633027,0.7965856905856906,0.1461915055223879,0.5413697060327256,0.6632022947329742,0.1218325887002486,0.5818181818181818,0.6785714285714286,0.09675324675324681
3508,181,20,161,Random Forest,0.9361801242236025,0.9872670807453416,0.05108695652173911,0.4898879558078439,0.9117482781888409,0.42186032238099697,0.6011666042886206,0.6837199941511819,0.08255338986256133,0.64,0.6896551724137931,0.049655172413793136
3508,181,20,161,XGBoost,0.9596273291925466,0.984472049689441,0.024844720496894457,0.6577229666468797,0.8955355652724074,0.23781259862552773,0.6681494003911623,0.7588665789385283,0.09071717854736594,0.6923076923076923,0.7755102040816326,0.08320251177394034
3509,181,20,161,Logistic Regression,0.9583850931677019,0.9860248447204969,0.027639751552794967,0.7572835917312661,0.9529881135813341,0.19570452185006793,0.5994407988090701,0.7143430755136987,0.1149022767046286,0.6129032258064516,0.7307692307692307,0.1178660049627791
3509,181,20,161,RBF-SVM,0.9518633540372671,0.9838509316770186,0.031987577639751574,0.7367199288167031,0.861607919990273,0.12488799117356986,0.6349663992612077,0.710823609093172,0.07585720983196431,0.6666666666666666,0.7346938775510204,0.06802721088435382
3509,181,20,161,Random Forest,0.9486024844720496,0.991304347826087,0.04270186335403736,0.603667642923665,0.9516812865497076,0.3480136436260426,0.6842006073552548,0.7285186322821915,0.044318024926936705,0.717948717948718,0.7450980392156863,0.02714932126696834
3509,181,20,161,XGBoost,0.9854037267080745,0.9919254658385093,0.006521739130434745,0.8997173507083993,0.9389485649332197,0.03923121422482034,0.8103145479569674,0.8708635346558767,0.06054898669890929,0.8260869565217391,0.8837209302325582,0.05763397371081902
3510,181,20,161,Logistic Regression,0.9767080745341614,0.9822981366459627,0.005590062111801242,0.8139947283898897,0.8942135325687959,0.08021880417890614,0.6877421448587597,0.917836952271665,0.23009480741290522,0.7037037037037037,0.926829268292683,0.22312556458897925
3510,181,20,161,RBF-SVM,0.9860248447204969,0.9885093167701864,0.00248447204968949,0.8673954687029888,0.9064052506633155,0.03900978196032667,0.7975333605374973,0.7975333605374973,0.0,0.8181818181818182,0.8181818181818182,0.0
3510,181,20,161,Random Forest,0.9850931677018633,0.9928571428571429,0.007763975155279601,0.865161335340599,0.9462591358382434,0.08109780049764437,0.8313664596273292,0.8494964772607828,0.018130017633453566,0.85,0.8636363636363636,0.013636363636363669
3510,181,20,161,XGBoost,0.9894409937888199,0.9925465838509316,0.0031055900621117516,0.8478073762545179,0.9444841269841271,0.09667675072960924,0.862809297961903,0.8250708784512283,-0.03773841951067469,0.8780487804878049,0.8421052631578947,-0.03594351732991019
3511,181,20,161,Logistic Regression,0.9596273291925466,0.9835403726708074,0.023913043478260843,0.6961019284278465,0.9207100401729558,0.2246081117451093,0.651617652013316,0.8293528601186808,0.1777352081053648,0.6666666666666666,0.8444444444444444,0.1777777777777778
3511,181,20,161,RBF-SVM,0.9801242236024845,0.9866459627329193,0.006521739130434745,0.8823685628097392,0.898457207957208,0.016088645147468772,0.7600689387825204,0.7975333605374973,0.037464421754976995,0.782608695652174,0.8181818181818182,0.035573122529644285
3511,181,20,161,Random Forest,0.9655279503105589,0.9919254658385093,0.026397515527950333,0.8294637259685139,0.955127040487789,0.12566331451927504,0.7416937874533518,0.7143430755136987,-0.027350711939653105,0.7692307692307693,0.7307692307692307,-0.03846153846153855
3511,181,20,161,XGBoost,0.9866459627329193,0.9953416149068324,0.008695652173913104,0.9131779984721161,0.9724961597542243,0.059318161282108206,0.7428126208262675,0.917836952271665,0.17502433144539742,0.7659574468085106,0.926829268292683,0.16087182148417234
