principal_component,explained_variance,explained_variance_ratio,cumulative_explained_variance_ratio,singular_value
307,0.0780762796376176,6.091237521899195e-05,0.9923076127052225,7.49245253968599
308,0.07750459842506904,6.0466369585961905e-05,0.9923680790748085,7.464971953572541
309,0.07709353588972766,6.01456730119525e-05,0.9924282247478204,7.445149582427084
310,0.07598295609263396,5.9279237602565884e-05,0.992487503985423,7.391329070647837
311,0.07536103617267402,5.879403749189727e-05,0.9925462980229148,7.361017932878076
312,0.07508375171967605,5.857770988610203e-05,0.992604875732801,7.34746333685627
313,0.07434689296994094,5.8002838531375796e-05,0.9926628785713324,7.311321087559179
314,0.07413855018834298,5.784029679980551e-05,0.9927207188681322,7.3010696192693985
315,0.0735521113940307,5.738277781903543e-05,0.9927781016459513,7.272136418708609
316,0.07344185465797246,5.7296759380293566e-05,0.9928353984053315,7.2666838034334615
317,0.07326329453981476,5.715745303825407e-05,0.9928925558583698,7.25784463695158
318,0.07225442712565168,5.63703700629517e-05,0.9929489262284327,7.207699570830041
319,0.07161077428263544,5.5868214687893515e-05,0.9930047944431206,7.175524141776326
320,0.07106338054553066,5.544115729143698e-05,0.993060235600412,7.148046629131384
321,0.07055700831333944,5.504610343447979e-05,0.9931152817038464,7.122533887409105
322,0.07000354296588847,5.461430918056402e-05,0.993169896013027,7.0945434942971355
323,0.06977112539007035,5.443298513885212e-05,0.9932243289981658,7.082756465914989
324,0.06896260698145498,5.380220743138931e-05,0.9932781312055972,7.041598853929847
325,0.06775577498474697,5.2860679431451854e-05,0.9933309918850286,6.979713619772166
326,0.06741032758966457,5.259117348873344e-05,0.9933835830585174,6.9618981274483485
327,0.0668413391686383,5.214726867721223e-05,0.9934357303271946,6.932454317357665
328,0.06636825174533051,5.1778182460839465e-05,0.9934875085096554,6.907877604944419
329,0.06616850055663778,5.162234358874458e-05,0.9935391308532442,6.897474313125245
330,0.06571578156503226,5.126914810846003e-05,0.9935904000013527,6.873837861432156
331,0.0652664251257236,5.091857597355196e-05,0.9936413185773262,6.850296319532117
332,0.06429630988336625,5.0161726083644255e-05,0.9936914803034098,6.799194570398786
333,0.06382087811503484,4.979081089150081e-05,0.9937412711143013,6.774009991482892
334,0.06363934034014272,4.9649181486104274e-05,0.9937909202957874,6.764368832682219
335,0.06279215886709039,4.89882402116909e-05,0.9938399085359991,6.719193569576485
336,0.06239812055515299,4.868082533973759e-05,0.9938885893613388,6.69807798395592
337,0.06143832054581465,4.793202303287356e-05,0.9939365213843717,6.646363853449548
338,0.06133266585264535,4.784959494659888e-05,0.9939843709793184,6.640646560994796
339,0.06094453659352048,4.754679011041798e-05,0.9940319177694288,6.619601333217978
340,0.06061286835100433,4.728803417929349e-05,0.9940792058036081,6.601564386141524
341,0.06025118937668731,4.7005864927701693e-05,0.9941262116685358,6.5818390410156775
342,0.05974354424408811,4.6609817998487116e-05,0.9941728214865343,6.554052815739232
343,0.05913472344137437,4.613483735970473e-05,0.994218956323894,6.520572532711232
344,0.05886081451098877,4.592114321827126e-05,0.9942648774671122,6.505453530185342
345,0.05825652496137182,4.544969770424284e-05,0.9943103271648165,6.471973535732848
346,0.058003462767851025,4.525226745581111e-05,0.9943555794322723,6.457901340999635
347,0.05762070586586935,4.495365394426345e-05,0.9944005330862166,6.436558670404556
348,0.057064176693117516,4.451946940129706e-05,0.9944450525556179,6.405399522461615
349,0.05630310664966781,4.392570924431069e-05,0.9944889782648622,6.362541448282373
350,0.05613834799944576,4.379717032353373e-05,0.9945327754351857,6.353225339274651
351,0.0557609837346888,4.350276395842767e-05,0.9945762781991442,6.3318360137673535
352,0.0553418755607145,4.3175790459319384e-05,0.9946194539896035,6.307995603054406
353,0.055039096316598576,4.293957271160249e-05,0.9946623935623151,6.290716195445029
354,0.0545269769202253,4.25400351187049e-05,0.9947049335974338,6.261381349641786
355,0.053891273869542074,4.2044081892823766e-05,0.9947469776793266,6.224775169610607
356,0.05366354178306409,4.186641330557377e-05,0.9947888440926322,6.211609013936975
357,0.05299087218389547,4.1341620074990245e-05,0.9948301857127072,6.172555151654851
358,0.05274886777084806,4.115281671908478e-05,0.9948713385294263,6.158444278163094
359,0.05248947393059132,4.0950446741922073e-05,0.9949122889761682,6.143283467014619
360,0.05205958129300813,4.061505958251992e-05,0.9949529040357508,6.118074774769662
361,0.05168152242354462,4.032011131118176e-05,0.9949932241470619,6.095819438150098
362,0.05125518993441274,3.998750165474604e-05,0.9950332116487167,6.07062447881952
363,0.05085352270324497,3.967413496755726e-05,0.9950728857836842,6.046791117909823
364,0.05070530110490934,3.955849767470361e-05,0.9951124442813589,6.0379724655243185
365,0.050383080125764444,3.9307112167143536e-05,0.9951517513935261,6.018756899096743
366,0.049948833894008796,3.896832848624964e-05,0.9951907197220123,5.99276326662353
367,0.049800958905914204,3.885296160655034e-05,0.9952295726836189,5.9838858155342765
368,0.04912256841371753,3.832370513585945e-05,0.9952678963887548,5.942989709688458
369,0.04891411908082963,3.816108027670954e-05,0.9953060574690314,5.930366904257822
370,0.0487019988967881,3.799559154822722e-05,0.9953440530605797,5.9174941661813785
371,0.04836322014309667,3.773128824565116e-05,0.9953817843488254,5.896876739672155
372,0.048113884284124074,3.7536765152750466e-05,0.9954193211139781,5.881656467381039
373,0.0474149526866109,3.699148323207325e-05,0.9954563125972102,5.838779922353063
374,0.04698751107168122,3.665800827458739e-05,0.9954929706054848,5.812402296859604
375,0.0467507614810954,3.647330454687855e-05,0.9955294439100317,5.797740724187966
376,0.04639148663104837,3.619301090872896e-05,0.9955656369209405,5.775420234729571
377,0.046274577560168555,3.610180255165832e-05,0.9956017387234921,5.768138457575476
378,0.04592349990712978,3.582790407913687e-05,0.9956375666275713,5.7462158359416255
379,0.045808070706747084,3.5737850265128663e-05,0.9956733044778364,5.738989705353299
380,0.04537855096551547,3.540275402638244e-05,0.9957087072318628,5.712020495779547
381,0.04494450889876442,3.506412962786501e-05,0.9957437713614906,5.684637358549058
382,0.044700746317899276,3.487395461108753e-05,0.9957786453161017,5.669200702265671
383,0.04427327734941471,3.4540458313317444e-05,0.995813185774415,5.642028572617226
384,0.04402406766376652,3.434603365641952e-05,0.9958475318080714,5.626126967128286
385,0.0436175721404694,3.4028900105040815e-05,0.9958815607081765,5.600092353613242
386,0.0433100405355073,3.3788974732058206e-05,0.9959153496829085,5.580315326666563
387,0.04297488309044169,3.352749664747182e-05,0.9959488771795559,5.558681583075934
388,0.04277200100311382,3.336921515806318e-05,0.995982246394714,5.545544943577577
389,0.0426716282975115,3.329090789324766e-05,0.9960155373026073,5.539034279178164
390,0.04233135526520521,3.3025438806900995e-05,0.9960485627414142,5.516905331404786
