model,representation,classifier,threshold,n,active,inactive,prevalence,TN,FP,FN,TP,predicted_positive_count,sensitivity,specificity,precision,net_benefit,standardized_net_benefit,treat_all_net_benefit,treat_none_net_benefit,beats_treat_all,beats_treat_none,beats_both
ESM-2 Random Forest,ESM-2,Random Forest,0.05,181,20,161,0.11049723756906077,126,35,0,20,55,1.0,0.782608695652174,0.36363636363636365,0.10031986042454201,0.9078947368421052,0.0636813027042745,0.0,True,True,True
ESM-2 Random Forest,ESM-2,Random Forest,0.06,181,20,161,0.11049723756906077,128,33,0,20,53,1.0,0.7950310559006211,0.37735849056603776,0.09885976254848948,0.8946808510638299,0.05372046549900082,0.0,True,True,True
ESM-2 Random Forest,ESM-2,Random Forest,0.07,181,20,161,0.11049723756906077,133,28,0,20,48,1.0,0.8260869565217391,0.4166666666666667,0.09885344264242855,0.8946236559139784,0.04354541674092553,0.0,True,True,True
ESM-2 Random Forest,ESM-2,Random Forest,0.08,181,20,161,0.11049723756906077,135,26,0,20,46,1.0,0.8385093167701864,0.43478260869565216,0.09800624549603651,0.8869565217391304,0.03314917127071823,0.0,True,True,True
ESM-2 Random Forest,ESM-2,Random Forest,0.09,181,20,161,0.11049723756906077,136,25,0,20,45,1.0,0.84472049689441,0.4444444444444444,0.0968368647926659,0.8763736263736265,0.022524436889077765,0.0,True,True,True
ESM-2 Random Forest,ESM-2,Random Forest,0.1,181,20,161,0.11049723756906077,137,24,0,20,44,1.0,0.8509316770186336,0.45454545454545453,0.09576427255985266,0.8666666666666666,0.011663597298956399,0.0,True,True,True
ESM-2 Random Forest,ESM-2,Random Forest,0.11,181,20,161,0.11049723756906077,139,22,0,20,42,1.0,0.8633540372670807,0.47619047619047616,0.09547457942764914,0.8640449438202248,0.0005586938978210804,0.0,True,True,True
ESM-2 Random Forest,ESM-2,Random Forest,0.12,181,20,161,0.11049723756906077,142,19,0,20,39,1.0,0.8819875776397516,0.5128205128205128,0.09618282270215972,0.8704545454545455,-0.010798593671521847,0.0,True,True,True
ESM-2 Random Forest,ESM-2,Random Forest,0.13,181,20,161,0.11049723756906077,142,19,0,20,39,1.0,0.8819875776397516,0.5128205128205128,0.09481171016701594,0.8580459770114942,-0.022416968311424423,0.0,True,True,True
ESM-2 Random Forest,ESM-2,Random Forest,0.14,181,20,161,0.11049723756906077,142,19,0,20,39,1.0,0.8819875776397516,0.5128205128205128,0.09340871129384556,0.8453488372093024,-0.03430553771039446,0.0,True,True,True
ESM-2 Random Forest,ESM-2,Random Forest,0.15,181,20,161,0.11049723756906077,142,19,0,20,39,1.0,0.8819875776397516,0.5128205128205128,0.09197270068248294,0.8323529411764706,-0.04647383815404618,0.0,True,True,True
ESM-2 Random Forest,ESM-2,Random Forest,0.16,181,20,161,0.11049723756906077,142,19,0,20,39,1.0,0.8819875776397516,0.5128205128205128,0.09050249934227834,0.819047619047619,-0.058931860036832456,0.0,True,True,True
ESM-2 Random Forest,ESM-2,Random Forest,0.17,181,20,161,0.11049723756906077,142,19,0,20,39,1.0,0.8819875776397516,0.5128205128205128,0.08899687146375557,0.8054216867469879,-0.07169007521799911,0.0,True,True,True
ESM-2 Random Forest,ESM-2,Random Forest,0.18,181,20,161,0.11049723756906077,142,19,0,20,39,1.0,0.8819875776397516,0.5128205128205128,0.08745452095404932,0.7914634146341464,-0.08475946637919418,0.0,True,True,True
ESM-2 Random Forest,ESM-2,Random Forest,0.19,181,20,161,0.11049723756906077,142,19,0,20,39,1.0,0.8819875776397516,0.5128205128205128,0.08587408771570834,0.7771604938271606,-0.09815155855671509,0.0,True,True,True
